content,label,score
saat login jadi salah terus akhir saat bimtek ketika simulasi tidak bisa praktik gak tau deh nanti pas hari h ganggu jg atau gak,negative,97.961%
sangat buruk login aja gak bisa apalagi proses verifikasi juga sulit deteksi hasil banyak gak sesuai dg real,negative,99.756%
tidak bisa buat scan foto kata bisa mode offline mode apa sama mau pake wifi mau pake data ttep gabisa scan aneh bgt bikin pusing,negative,99.637%
sungguh sangat bikin emosi apknya ya harus segala sesuatu matang lebih dahulu jngan sampai gara aplikasi tidak efektif malah nanti smua kpps khusus operator sirekap nya jadi stresss smuanya belum nnti februari guna smoga apknya sudah bisa guna dgn normal tetap semangat,negative,84.727%
aplikasi jelek pake banget kelas negara buat aplikasi sama sampah bagus sampah kalo belum siap nggak bisa nggak usah paksa sulit guna,negative,99.771%
aplikasi nyusahin ribet banget bikin aplikasi entar kali gue ganti kpu bikin aplikasi yg bener,negative,99.481%
aplikasi yg bikin emosi jiwa kenapa tiba error pdhl sdh hasil login skrg buka malah g bisa sm skali tdk beri solusi kmudahan dlm hitung hsil milu klo sprti,negative,99.122%
aplikasi asa lama saat pemrosesan foto tolong adakan fitur zoom out in fokus dalam,neutral,99.687%
rating sementara ya soal ga bisa masuk terus udah cape instal unistal gabis login terus mohon baik server nyaa gabisa bisa sulit sekali kalo dah bisa masuk ganti ulas bintang,negative,98.193%
kalo mau bikin aplikasi skala nasional ya rekrut orang pintar rekrut sesuai skill mampu bukan karena orang satu lagi dana kembang jangan korupsi masa kalah sama aplikasi buat swasta,negative,94.321%
versi android sudah versi baru jaring baik baik tapi tetep tidak bisa login terlalu sering server eror,negative,99.421%
perlu baik sistem lagi buka masuk selalu error aplikasi yg buruk padahal sudah mau pesta demokrasi februari,negative,99.413%
loading terus takut pas hari h uploud error bukan nya mudah malah makin jdi lama proses harus uji coba dlu apk malah jdi sulit kerja,negative,99.761%
app sirekap belum layak guna tapi tetap paksa -prosesnya lama jd sulit kerja sirekap -c hasil masih nulis manual -fotonya ga bisa fokus depan tolong baik lagi nanti kasih bintang lima,negative,99.547%
gabisa buka dri kmren data nya susah ngapus nya udh clear data x tetep data nya gabisa ubah skrg klik malah out trs udh mepet hari gmna nii servernya,negative,96.171%
padahal kemarin bisa akses kenapa tiba tidak bisa akses login tidak valid meski guna username password yg sama ket malah username password tidak sesuai bingung,negative,99.138%
bukan baik telah update malah tidak bisa login milu sudah makin dekat coba depelopernya baik lagi,negative,53.059%
kasih bintang tiga dulu aplikasi nanti kalau lancar guna aplikasi baru naikin ranting nya moga aplikasi dapat bantu laksana milu februari,positive,59.108%
kpu tidak jelas aplikasi baru lahir kok langsung dipakek mana kpps kasih waktu ajar aplikasi lot bulan g sekolah pogremernya masa uji coba belum jelas langsung guna nama indikasi curang makin jelas,negative,98.785%
oohh tuhan kenapa susah sekali inisial padahal data semua sesuai kpu tdk bisa kah mudah mana tiap beberapa hari harus cek aktivasi nang sy bikin aplikasi,negative,95.588%
ada baik jika aplikasi ada fitur seperti aplikasi scanner bisa jelas hasil foto penting harus tambah lagi keamananya,neutral,70.942%
harus siap tim kembang beberapa tahun lalu udah mau mepet milu tapi sirekap masih banyak troble utama ga bisa login invalid mulu,negative,98.772%
tidak bisa login tolong bantu lemah kurang agar bisa baik aplikasi agar tidak jadi masalah milu nanti,negative,76.107%
sudah d upgrade versi baru baru lagi versi masih udah bsa d buka harus apk d upgrade begitu langsung tokcer jgan ggal gagal lagi,negative,99.418%
terlalu sering log out susah log in mental terus penguplod an foto lama susah bukan nya hitung cepat tp nggak bisa cepat gimana,negative,99.720%
kok bisa ya hp ram kmera mp hasil foto nya gelap tolong baik lgi bug nya mumpung masih ad waktu,negative,97.316%
alih cepat kerja malah lama karena banyak masalah aplikasi sebut kes paksa mohon bagi pihak kembang agar benar teliti belum aplikasi pakai saat rekap tanggal februari semangat buat tim kembang aplikasi agar aplikasi jadi lebih baik,positive,60.881%
rasa yg punya aplikasi musti bnyk ajar keluh banyak progres baik lambat hari milu sudah makin dekat kpps masih banyak yg blm bisa aktifin,negative,45.983%
iinilah tanda dari lemah aiti negara kita aplikasi buruk gak bisa log in awal sudah bisa log in ehh h- kok gk bisa tolong aplikasi nasional aja kya gin mohon depan bisa baik karna layan masayakat biar lancar,negative,99.392%
bagaimna cara mereset ulang waktu mungut suara sirekap soal waktu simulasi masih tersiman padahal sudah update baru,neutral,94.139%
sangat apresiasi niat meper mudah hasil milu klo aplikasi belum siap jagan dulu mungkin prbaiki dulu buat milu tahun datang,positive,95.921%
kelas aplikasi event negara masih buruk ui buruk ux apalagi belum lagi servernya,negative,99.772%
seblum rilis tolong uji coba dulu kalo hanya bikin susah mending tidak usah pakek penting rakyat indonesia bukan mudah malah bikin sulit tak usah sok canggih kalo masih belum mampu canggih,negative,98.503%
aplikasi ga layak guna jatuh sulit kerja ya bukan mudah baik guna cara yg lebih efisien daripada guna aplikasi ga jelas begini,negative,99.662%
aplikasi tidak bisa guna karena tidak bisa login kapasitas aplikasi kurang belum bisa akses banyak orang sistem nya jadi error,negative,99.455%
aplikasi macam sih mau login aja susah banget gagal dapat kunci digital terus alesannya tolong baik bug nya udah mau hari h nya loh,negative,98.761%
kamera bawa sirekap sinkron kamera ultra wide hasil jadi jelek harus sinkron kamera utama tlg baik,negative,99.298%
tiap ada uji beban atau rekapitulasi baik profil muncul cuma,neutral,97.732%
minta maaf kalo bilang begini ya kalo bisa minta tolong kalo buat aplikasi hal penting harap buat lebih cermat lagi tolong aplikasi penting jadi klo bisa mudah jangan malah sulit ada seperti moga buat lebih paham komentar terima kasih,neutral,48.638%
aplikasi tidak bisa login user password tidak cocok padahal laptop bisa buka mohon developer ecek kembali salam sukses terima kasih,neutral,81.525%
anggar elit aplikasi sulit banyak gaya banyak canda kata penting bagi milu malah tidak mutu,negative,99.685%
coba yg gagal bukan mudah digitalisasi malah nanti hambat kalau apk nya belum siap,negative,99.813%
telah terinstal aplikasi kok gak bisa buka malah keluar tulis jadi salah perangkat silah aktif kunci layar mengunakan aplikasi,neutral,92.766%
aplikasi masih ujicoba langsung dipake hari milu ckckck klo mau digitalisasi count mohon siap tahun utk ujicoba ketika milu sudah siap gausah babibu hanya perlu bimtek,neutral,74.573%
aplikasi lama mensubmit gambar apalagi akan laksana submit foto banyak bukan mudah malah sulit,negative,98.966%
kemarin sudah bisa login apk nya tapi hari tiba tiba akun log out sendiri tidak bisa masuk lagi username password salah padahal sudah sesuai yg ikan kpu,negative,62.243%
terlalu susah masuk lambat servernya tambah karena guna seluruh indonesia emank kerja kita hanya pencet kata ulang ,negative,99.670%
login masuk akun si rekap ga bisa ram inteernal tpi loading nya ga lama sampe jam jam ga bisa masuk loading mulu minta baik lagi,negative,96.585%
aplikasi belum siap sudah suruh instal login gak bisa telah bisa login gagal inisial kalau gak siap mending manual aja gak usah pakai aplikasi segala,negative,97.084%
jangan terlalu paksa hendak niat mudah malah sulit awal login sudah masalah kalo aplikasi nya belum mumpuni jangan paksa pakai,negative,99.260%
mohon baik ketika selesai aktivasi malah stuck saat inisalisasi gagal dapat sertifikat digital failed to store private key mohon baik,neutral,72.751%
maaf masih kecewa terus si rekap sampai pilih kali proses instal log in sulit susah sekali padahal fitur-fitur mudah kerja kpps tapi kalau simulasi guna aja sulit gimana saat guna serentak nanti tanggal sampai hari gagal inisial,negative,99.635%
tadi aman dh bisa login praktek sirekap rapat bimtek tiba pas mau d pake lagi nga bisa login usaha ampe stres tingkat dewa,negative,99.083%
telah update baru malah inisial terussss ah payahhh,negative,99.773%
sangat burukkkkkkkkkk buat aplikasi lihat ngga siap samasekali sampai tanggal februari sirekap masih masalah udahh semua masalahhhhhhhhh bermasalahhhhh,negative,99.798%
tolong cepat kembang lagi apk nya tugas kpps keluh apk karena apk sangat belum layak jadi apk rekap hasil hitung suara aktivasi data susah login susah hitung hari lagi milu akan gelar tolong baik cepat,negative,98.804%
kecewa pas update tidak bisa login kembali ada terang invalid padahal versi belum sudah masuk mohon segera baik milu tinggal hitung hari,negative,99.473%
masuk tolong apk nya lancar seluruh demi baik sama,neutral,81.317%
maaf bagaimana ya susah banget bagi sign in padhal sudah coba beberapa kali masukin email sama password tapi tetap salah mohon cepat baik lagi,negative,97.805%
hp udah spek tinggi hanya server ngajak gelut mau uji coba juga malah udah jatuh tumbang mental tolong kembang lebih serius lagi bikin apk makasih,negative,98.994%
tolong bikin aplikasi yg bener pertama install gak bisa buka terus verifikasi gk masuk udh bisa masuktapi sampe sekarang gak bisa submit gimana sih,negative,84.196%
kenapa kamera pakai ultrawide bukan kamera utama padahal ultrawide hp sekarang hanya batas tambah kualitas buruk,negative,99.273%
maaf punya belum bisa masuk gagal dapat kunci digital tolong segera baik makasih,neutral,91.304%
makin hari makin turun rate nya susah masuk for close sendiri tolong kpu baik nya cepat kata digitalisasi tp ko gin mohon jelas,negative,98.997%
kenapa ya kemarin bisa tpi skrg buka malah gabisa milu udah dekat banyak yg harus d siap jadi tolong baik lagi apk nya,negative,95.040%
izin masuk moga ada baik kalau boleh usul server sirekap ada regional agar tidak sibuk server nasional utama kirim data angka ketimbang foto nuhun,negative,70.445%
kagak jelas sering gagal upload file daftar hadir sampe nyoba kali,negative,99.160%
aplikasi belum sempurna masak tiap hari ganti versi bagaimana nanti kalau sudah waktu hari h mohon aplikasi sempurna lagi agar tidak hambat kerja kpps,negative,98.816%
sekali login aja ya pas kemarin bisa login tapi gak sengaja hapus mau login lagi ada tulis anda sudah catat selesai inisial perangkat gak bisa login lagi ya,negative,58.141%
sbagus apa kamera hp hasil photo tetep buram log out sendiri buat fokus gambar tak ada aplikasi cuma buat kisruh negara tuju aplikasi buat,negative,98.061%
belum layak pakai baik siap lebih matang baru rilis masa depan rakyat negara apk belum jadi kok udah minta dipake buru buru amat maksa banget,negative,99.811%
app tidak ramah kpps server pakai laptop ya paling gak upgrade server spek real server buka pc desktop biasa punten letup,negative,99.682%
update cukup uras waktu kuota wkwk karena aplikasi sirekap biasa update kalau aplikasi belum hapus dulu kemudian diinstal lagi,neutral,77.095%
kualitas tingkat lagi sangat buruk land cukup lama tidak gambar aplikasi sangkut maju negara inti sangat kurang,negative,99.721%
mohon maap bapak ibu afk ya tolong benah lagi loading masukya sulit sekali kalo nga bisa masuk masuk eror terus bagaimana nanti saat hari milu mau isi mana data nanti jadi belum hari pilih harap baik lagi afk ya biar saat hari hitung suaraya nanti lancar biar nga buat kepala puyeng hanya mikir loding terus,negative,99.277%
wahh kacau nih apk kelas kpu buat apk tpi model gin suka error bikin malu negara klo apk nya blom siap mending gk usah luncur dulu capek download trus ujung nya gk bisa d guna,negative,99.730%
app masih masa cba jadi performa nggk maksimal coba klau mau uji coba satu tahun belakang jgn dekat jari h malah eror,negative,98.875%
digitalisasi bagus namun jika belum siap mending jangan dulu karena akan guna seluruh indonesia baik lagi servernya jangan malah sulit,negative,68.666%
aplikasi cacat bukan bantu malah susah terlalu lot guna terlalu banyak bug,negative,99.781%
aplikasi tidak bantu sama sekali justru sulit orang ketika sudah diupdate jadi susah login kembali tolong baik kembali,negative,99.052%
aplikasi aneh telah update kq jadi invalid username pasword belum waktu bos make ditigal semua baik dulu server,negative,97.986%
kalau sudah awal aplikasi tidak siap mending tidak usah pakai digital sudah ada wa kpu username pasword sudah masuk sesuai malah tidak masuk,negative,92.580%
baru donlod aplikasi suruh pasang kunci layar udah gitu ga bisa jg trus suruh kunci pakai sidik jari yg ga pernah ngunci hp jd bingung sendiri,negative,95.455%
masih perlu terus evaluasi baik mudah iring dana alir aplikasi bisa jadi lebih baik,neutral,85.063%
baru download sudah ada pesan app versi sudah tidak dapat guna hapus instal lagi sampai kali sama aja lhah trus kudu gimana,negative,96.492%
asli kok google play store nggak bisa update aplikasi nya yah ada tau cara lainn meng update nya sudah tak bolak balik tetep blum bisa update gim nih jadinyaa,negative,84.762%
susah login pakai sangat tidak praktis fitur ora jelas gak ada fitur create new akun pokok nih aplikasi minim fitur aplikasi miskis,negative,99.687%
please segala cara udah gue coba buat login tapi ga bisa mulu tolong cepat baik buat login aja susah minta ampun entah gimana fungsi lain,negative,98.520%
sangat lucu ya aplikasi perintah kok seperti hampir semua smartphone tidak bisa terinstal aneh sekali,negative,96.803%
telah masuk pesan aktivitas hasil malah telah masuk aplikasi nya invalid username wak kocak kocak,neutral,63.797%
aplikasi gk jelas masak begini guna kerja penting sulit kerja tolong kalau bisa lebih mudah jgn bikin sulit,negative,99.647%
ide pake pake aplikasi tambah ginian sih buang buang anggar ajah kalo belum siap login banyak gak bisa cara ngerjain kasih tutor cuman group gk ada arah langsung buat bayar insentive sama antar tugas tapi pusing tanggungg jawab nya beda bikin kapok jadi tugas milu dah,negative,99.304%
anggar besar tapi buat program harga bajet jt doang ui nya jelek security-nya payah banyak bug nya lagi jelek amat kualitas it instansi,negative,99.756%
nyata bukan yg dapat info aplikasi versi sudah tidak dapat guna lalu tanya adalah solusi gimana ada aplikasi begini ribet bett,negative,99.402%
aplikasi sangat friendly mudah guna sesuatu harap kpu seperti sudah benah alam tapi boong,negative,51.718%
aplikasi jelek sering masalah udah coba kali masih aja masalah saat proses inisialiasi,negative,99.513%
sekira masih blm siap pakai lebih bauk jgn luncur baik dlu server dll kalau sdh baik bagai baru luncur aplikasi blm siap paksa unt luncur aplikasi,negative,95.400%
sulit sulit sulit masalah tidak bisa login kembali telah waktu habis jadi saat kirim foto aplikasi,negative,87.625%
so soan pake aplikasi aplikasi gak guna banyak bug kirim berkas malah suruh login ulang pas login lg gk bisa cuih lebih baik manual aja bikin puyeng aja,negative,99.676%
app klo mau kunci buat dokumen loading lama muter-muter terus udah uninstall terus install lagi tetep sama gak selesai masih muter-muter,negative,73.323%
udah download aplikasi tapi aplikasi eror gk bisa operasi baik tolong kepada tim buat aplikasi segera baik terima kasih,negative,74.202%
sy sudah usaha login guna username pasword yg sudah tentu tapi sampai sekarang belum juga bisa login selalu hasil nya invalid username and pasword bagaimana solusi,negative,83.845%
tolong maksimal apk nya biar nggak lama loadingnya bikin kerja gak kelar nunggu apk nya ok uji sabar tingkat dewa,negative,85.381%
kalo gak niat buat aplikasi tolong jngn susah betul yg daftar jd tugas dngn tanggung jwb tp tolong dengn dukungn aplikasi yg wajar minimal bisa buka ,neutral,59.246%
masih kasus sama seperti aplikasi perlu perhati lagi kendala harus baik bukan cuma diam soal udah milu sampe pilkada belum juga ada baik,negative,82.245%
sudah bisa login walaupun harus beberapa kali klik ulang karena gagal terus dapat kunci digital sertifikat entah mari lihat bagaimana kerja aplikasi saat hari h milu,neutral,71.569%
tadi pagi sya dapat wa kpu install telah install selesai buka gak bisa ada kata aplikasi versi sudah tidak dapat guna angel tuturane kasih deadline --,neutral,91.527%
mau sampai kapan update nya sedang pilih udah minggu lagi tolong kpu cepat ini belum login nya terkadang suka eror tuh,negative,98.957%
aplikasi bosan sangat uras tenaga saat beusaha buka mau siang malam subu tetap tdk bisa sangat lelah,negative,98.511%
tidak bisa buka aplikasi versi sudah tidak bisa guna pdahl kemarin bisa buka baik knpa tiba tiba seperti,negative,80.818%
ga jelas kata udah update tapi ga bisa buka karena versi nya belum diupdate kata miris kelas kpu bikin aplikasi bobrok,negative,99.698%
baru banget download tapi tulisanya versi tidak dapat guna kalo emang gk bisa guna mending hapus aja tolong segerea baik,negative,94.776%
kelas negara aja bikin aplikasi guna hari dua hari x tahun kok caruk maruk kalah sama aplikasi marketplace atau kirim kurir yg tiap hari guna sama seluruh indonesia haha,negative,99.166%
aplikasi perintah masih sama aja kalo ga proses login ga bisa atau minta update padahal aplikasi belum ada update resmi,negative,76.282%
aplikasi paling susah pernah sya download lama sya hidup baru dar simulasi sudah buat begadang apalagi nanti saat hari h nya parah parah,negative,99.650%
sangat bantu tahap pilkada kpps sangat mudah akses data,positive,98.963%
sangat bantu mudah guna,positive,99.027%
apk nya gagal proses inisial terus coba juga ttep gagal sudah coba install uninstall juga sama aja mohon baik agar tidak hambat proses rekap nanti,negative,97.475%
alam pilkada yg betul sendiri pegang sirekap sangat bagus cepat akurat,positive,99.071%
kyknyaaaaaa masih lancar app judi dehhh kenapa app negara jelek aduhhhh gimana si,negative,99.695%
aplikasi tidak mudah semua guna hanya beberapa hp yg bisa guna nya sering eror mohon baik lagi sblm hari h milu,negative,97.746%
lupa password bagaimana ya apk tidak klik lupa password,negative,79.057%
klik link kasih kpu wa eh malah baca ketika ud diinstal gabisa buka alas aplikasi tidak dapat guna lagi wkwkwk,negative,81.013%
aplikasi keong harus tingkat lagi jangan buang anggar,negative,89.572%
tolong pilkada fitur perangkat jangan terlalu tinggi kunci data guna pola atau pin seperti saat milu,neutral,57.420%
kalau mau update versi baru baik kasih rentang waktu satu bulan aplikasi baru rilis versi sudah rubah lagi jadi versi jadi susah login jadi,negative,88.809%
masa aplikasi gabisa masuk terus sih padahal sudah ulang beberapa kali percuma update teknologi kalau aplikasi masih kayak gin,negative,99.593%
aplikasi dapat play store sudah download kemudian telah buka aplikasi nya muncul tulis aplikasi versi tidak dapat guna,neutral,99.564%
gw kasih bintang lima buat si rekap tolong tingkat admin jaring aplikasi,neutral,98.896%
sulit pakai banyak bug,negative,99.784%
akun tidak bisa masuk disable terus terang nya,negative,95.164%
mohon baik lagi sitemnya kadang ngeleg,negative,91.215%
kenapa ketika buka ada terang aplikasi versi sudah tidak kerja padahal sudah versi baru linknya dapat whatsapp kpu,negative,79.059%
kok gak bisa terus nya bete padahal apk nya peting akses pilakada tapi susah akses - - malah apk nya gak bisa guna kaluarsa,negative,99.492%
baru donload tpi knpa muncul nya malah aplikasi versi sudah tidak dapat guna ada yg bisa bantu,neutral,51.021%
udah dekat milu tapi kyk gin aplikasi sampah buat orang bingung tolong baik kalo nggak mampu nggak usah bikin aplikasi terimakasih,negative,99.647%
aplikasi busuk banyak korupsi ya gin login aja susah,negative,99.816%
versi yg sekarang mantap mudah normal lancar jaya saat guna pas hari h pilih nanti,positive,98.345%
parah smpek emosi gw masuk gagal terus ciri aplikasi ribet kayak pilpres kemarin,negative,99.808%
kpu kalau bisa jangan bikin apk yg repot kata mau mudah eh malah tambah repot,negative,98.978%
gimana ga bisa submit waktu udah mau mepet udah hapus berapa kali juga tetep sama,negative,91.820%
udahh masuk login tapi gk bisa submit,negative,91.717%
kata bagai alat bantu tapi malah sulit kpps karena waktu buang proses login sulit bagai kendala dalam please lahh kalo emang belum siap buat digitalisasi jangan terlalu paksa bukan bantu malah jadi buntu kita jajar bawah laba kendala sirekap kita butuh pasti benar kpu siap tidak ada sirekap,negative,97.577%
sudah pernah login versi ehh stelah update versi logout sendiri tidak bisa login lagi smpai saat lebih baik tidak usah pakai aplikasi gin hmm,negative,86.808%
begini amat aplikasi nya mau masuk aja kaga bisa,negative,98.424%
aplikasine andal yg selalu dipake pd saat milu,positive,96.295%
aplikasi veri sdah tidak guna ada tulis seperti pas d buka tlong update nya biar bisa d buka,neutral,93.925%
bukan mudah malah hambat kerja,negative,99.819%
sirekap pilkada belum bisa diupdate dr versi lama,neutral,90.440%
transport kenapa bisa gitu sih lantik sama bimtek,negative,72.112%
terus gagal log in padahal jaring sudah pada juga masih belum log in sampai sekarang mohon baik lebih tingkat lagi,negative,95.617%
apa aplikasi gajelas minimal uda lanjur keluar uang banyak bayar apps maker tuh bener buang duit negara aja,negative,99.775%
pas hari h nya unggah data daftar hadir tidak bisa error mulu,neutral,85.224%
muncul ket apk versi sudah tidak dpt guna kalau gak siap sama sistem gausah rekak rekak gawe apk bos,negative,98.938%
aplikasi buruk belum siap release ngapain release belum e nggak ada uji test apps dulu bagaimana team qa apps tidak support semua hp sering timeout,negative,99.632%
tolong bagus lagi mau unggah daftar hadirr susah banget,negative,99.267%
jamal dr tps loktabat selatan banjarbaru aplikasi ny jalan baik lancar terima kasih sdh mudah bagai kpps laksana pilkada thn,neutral,60.332%
aplikasi bodong bulan desember sampai sekarang g bisa login udah reset kali kali tapi g bisa kalau mau pakai aplikasi mbok yo sedia server y pada g seperti mau login aja susah semua guna sudah g ada y positif apk nya coba perintah g usah paksa hendak guna aplikasi lebih aman jika laksana kpps manual,negative,98.974%
tdk bisa masuk aplikasi meski sdh coba kali kali bahkan sampai uninstall lalu install lgi ttp sj tdk bisa masuk,neutral,70.730%
ga bisa masuk tidak ada pilih daftar akun yg ada hanya masuk akun sedang kita blm punya akun gmn mau masuk hadeeee cacat nih aplikasi,negative,99.273%
aplikasi tidak bisa buka proses jadi hambat mereka minta cepat tapi aplikasi tidak dapat buka,negative,99.703%
aplikasi aneh udh update masak ada tulis aplikasi tidk dpat guna versi mau update juga tidak dapat alhasil unistal lagi download lagi,negative,99.299%
aplikasi tidak fungsi baik,negative,99.735%
pas buka yg ada menu masuk kemudian tidak bisa login username password yg daftar belum padahal belum aman mana masalah mohon bantu nya,neutral,71.272%
udah versi tetap aja gak mau login username minta password teruss cepat kali tatap aja gak mau,negative,99.453%
sirekap dapat cepat hitung suara,positive,51.897%
makin baru malah makin kacau nih aplikasi parah,negative,99.806%
aplikasi gin amat ya macet minta ampun,negative,99.790%
gmn ya sudah ada perintah download aplikasi pilkada nanti tapi ketika selesai downlad malah ada tulis aplikasi versi sudah tidak dapat guna,negative,81.630%
nama aplikasi hanya pikir untung bagi buat tidak ada guna sama sekali aplikasi kalo ga bisa buat bagus aplikasi mending kalian bikin mie instan aja yau,negative,96.098%
bukan mudah cepat malah bikin lama kpps aja mending milu depan ga usah pakai aplikasi seperti lagi karena malah buat repot,negative,99.700%
walah dalah autentikasi gak bisa sertifikat digital padahal dah bolak balik install ulang restart cari trix solusi ampe tugas ppk bingung cuma bisa senyum ngopi,negative,95.565%
telah update malah tidak bisa login mengunakan username pasw yg telah simpan tulis wrong user name ,neutral,86.382%
terlalu paksa bom jadi padahal udah operasi pake sistem lama aja biar cepet buka mudah malah sulit,negative,99.743%
tolong bisa buka iphone aplikasi seperti aplikasi yg susah jalan entah drmana asal yg buat gk kompeten,negative,96.941%
tidak bisa masuk tidak ada solusi sama sekali masuk ada sirekap sirekap indikasi bahwa aplikasi bisa error kapan kemaren lancar lancar kok hari mau simulasi eror,negative,98.576%
maksud ingin mudah kerja ikut kembang zaman digitalisasi namun daya login eror sesi akhir invalid username or pasword blm lg klu mohon tingkat kasi badan adhock bawah,negative,84.994%
gagal mulu ga bisa masuk susah bgt masuk padahal dah update hp jg os nya dah tinggi tp ttp ga bisa ga niat bikin apk mending apus aja drpd banyak kendala,negative,98.929%
aplikasi ga jelas gimana mau jalanin nya kalo aplikasi tidak bisa login kelas perintah lho tolong cepat nya baik,negative,98.546%
aplikasi jauh kata manfaat jadi makin susah kita liat aja nanti pas tanggal sedang login aja susah aplagi upload data yg notabene guna server,negative,99.328%
aplikasi bakal bikin banyak anggoa kpps pulang subuh nih kalo lihat bukan mudah malah sulit baru login aja dah banyak drama gimana kalo udah proses entar,negative,91.677%
proses aktivasi susah server kerap kali overload sehingga tidak merespon mohon baik baik aplikasi maupun servernya bila memang anggap penting milu,negative,97.764%
aplikasi kok sulit khas aplikasi plat merah ui ux basic lot sulit akses mending pakai google form aja dah pak kpu,negative,97.423%
pengoprasian lama server sering down susah upload file hasil foto kurang jernih meski sudah pakai hp spek cukup tinggi bpk ibu kpu mohon baik lagi,negative,89.972%
banyak masalah tidak bisa login telah login ingin kirim gambar tiba logout kamera juga tidak jernih,negative,99.410%
alhamdulillah adalah salah satu aplikasi bisa latih sabar latih emosi isi waktu luang moga saat perlu rekap data milu nanti tidak perlu sabar ekstra,positive,99.214%
baru dipakek simulasi kabupaten aja udah down gimana kalo dipakek serentak seluruh indonesia kalo gak siap mending gak usah maksain pakek aplikasi deh bikin ribet aja,negative,99.585%
buka mudah kok malah banyak kendala tidak bisa aktivitas banyak juga yg belum dapat wa kpu ada juga yg gakbisa login dsb kalau mau digital tolong pak bu server baik lagi masa kelas nasional begini,negative,77.470%
tolong klo bikin aplikasi uji udh bener semua belum sistem nya klo kaya gni kn kasi yg jdi si rekap ngga bsa login eror trs sistem nya udh jelek kasih solusi min nnti klo ada masalah yg disalahin malah anggota kppsnya,negative,96.110%
entah kenapa selalu gagal inisial gagal inisial kunci digital padahal perangkat guna no handphone email daftar mohon solusi,negative,86.137%
telah dapat kirim wa pertama aplikasi sirekap bisa akses tapi telah dapat kirim wa aplikasi tidak bisa pakai gimana solusi pak,neutral,90.773%
erorr terus app padahal udah mau hari h tapi aplikasi masih belum setabil bayak yg belum bisa login ada yg udah login tiba tiba erorrr pusing app bukan mudah mala sulit,negative,99.685%
gak bisa masuk pak malah loading minta ganti password okeh dah ganti trus tu malah gak bisa masuk malah ada loading muter time out aduh kacau nih,negative,99.767%
udah mau hari blm bisa dapet sertifikat digital sampe begadang buat bisa masuk tpi gagal terus apk tidak maksimal,negative,99.365%
bapak ibu mohon maaf belum gagal login terus padahal jaring lancar tidak ada kendala jadi kendala adalah username password salah bagaimana ya mohon arah lanjut terimaksih,neutral,88.794%
aplikasi masih banyak kekuranganya telah uji coba upload form c halaman paslon capres butuh waktu hampir jam bayang utk form c yg lai,neutral,89.241%
jadi salah saat inisial aplikasi harus sudah siap guna ingat waktu guna sudah dekat belum lagi kpps perlu bimtek khusus tugas sirekap mohon baik lagi,neutral,54.802%
heran loh sudah kali login tapi tetap sulit aplikasi belum siap guna ya masa hal seperti aj nga mampu siap baik,negative,99.613%
aplikasi nya tolong baik tingkat lagi masuk nggak bisa lagi nanti saat milu sedang langsung akan eror terus terus seperti,negative,97.931%
repot kalo orang tolol jiwa birokrasi khas konoha bikin aplikasi tolol bukan bantu malah lebih sulit guna begadang hanya tunggu lihat tolol kalian makin parah,negative,99.812%
terlalu lamban developer x gak bisa ngoptimalin waktu periksa berkas x mesti nunggu lama bet ashar sampai jam mlm blm selesai verifikasi berkas x benerin lagi lahh mangatss,negative,99.679%
sangat bantu selesai sirekap,positive,97.818%
turut aplikasi sudah sangat bagus sangat bagus tidak guna milu terlalu banyak kurang bukan mudah kerja jadi nambah kerja kpps,negative,82.297%
banyak y giat aplikasi tidak pada malah kurang sukses lambat jalan y giat mohon genah aplikasi y,negative,84.180%
mungkin apk cocok buat milu thun depan klo sekrng kyaknya blm siap ppwp hal tombol edit belum fungsi tpi kyknya dsengaja revisi gtu pdhl mudah apk klas nasional lo bukan main,negative,73.644%
kalau memang belum siap digitalisasi lebih gk usah laku malah akan sulit guna malah akan tambah masalah lebih banyak,negative,99.643%
jangan suruh pakai aplikasi kalau memang development aplikasi belum siap pakai baik server biar bisa akses banyak guna buka verifikasi gagal trus,negative,97.739%
tolong baik cepat seperti masih banyak bug aplikasi tidak bisa guna kalau seperti tiap hari minta update tapi tetap ada terang versi tidak guna,negative,95.743%
terimakasih buat developer versi sudah bisa buat authentikasi sidik jari android sekarang udah bisa login tinggal simulasi praktek moga bisa jalan saat milu nanti,neutral,75.452%
harus jngn uji coba dipelihan sekali beras seperti klau emng belum siap malah bingung jatuh bagus sih ide cuma mohon baik lagi milu sudh dekat kurang revisi dadak,negative,93.031%
fitur kamera tolong lebih tingkat lagi karena semua data guna fitur agak gelap fitur saat,negative,92.340%
bukaanya lebih bagus simpel malah makin ribet login ga bisa manual semua jadi grup wa juga banyak komplain hahaha,positive,96.488%
gak habis pikir begini aplikasi harga t tapi masih belum bener bener sedang hari h tinggal beberapa hari lagi banyak belum bisa login udah bisa banyak gak bisa login kembali,negative,98.982%
gak bisa submit capek banget gak masuk aplikasi,negative,99.598%
gimana mau masuk link klik udh aktivasi tapi tidak kirim username passwordnya tolong aplikasi tingkat karena sering eror,neutral,55.970%
masih belum bisa buka aplikasi sudah kadaluarsa,negative,94.137%
tolong kalau mau buat aplikasi siap dulu sumber daya gak trial error hari h alhasil blm semua terupload mana server down server pakai alibaba cloud,neutral,92.076%
