content,score,label
aplikasi aneh,99.630%,negative
gagal login susah,99.688%,negative
gagal login,99.364%,negative
apa dah simulasi aja sistem jelek banget mikir keras pas udah hari h,99.839%,negative
jadi salah saat laku inisial,99.661%,negative
bikin aplikasi yg susah banyak orang,98.398%,negative
lowding sekali dii instal app nya,83.712%,negative
sirepot,76.010%,negative
telah update versi sama sekali tdk bisa login sementara versi dahulu mau login butuh effort hari malam sdh dekat dgn waktu guna sementara akun masih belum bisa otak atik gimana sementara sy sirekap harus sy yg dibackup tp cek ulang tolong,70.696%,negative
selalu error gagal dapat kunci digital,99.393%,negative
padahal tinggal besok tapi database simulasi masih simpan tidak bisa hapus data belum kereset seperti aplikasi besok tidak bisa guna,92.187%,negative
gabisa login sirekap gagal teruss salah username password muluu jadi harus gimana lagi wahaiiii saudara saudaraaaaaaaaaa,99.707%,negative
sperti biasa aplikasi buat perintah bom mateng dah rilis server gmpang error login susah,99.353%,negative
wajar mungkin sebut aplikasi aplikasi si mark up  bagaimana tidak tugas kpps yg tugas input data aplikasi tidak beri hak jujur milu input data c-hasil ppwp presiden semua tugas kpps tidak beri hak edit salah scan aplikasi tidak seperti dpd dpr dprd bisa laku poko percaya kepada kpu all hasil sekarang viral aplikasi sirekap yg buat kpu bobrok,99.307%,negative
entah yg slah susaaahh amaaaat masukknyaa,89.059%,negative
unggah berkas pdf ppwp gagal terus udah hari ngga ada ubah sama sekali,96.352%,negative
banyak error,99.792%,negative
kalo belum siap cepat digital jangan maksa nyusahin kpps nyusahin orang selalu force close android lot kurang responsif padahal prosesor dimensity ultraaaaaa,99.174%,negative
proses inisial lama trs gagal dapat kunci digital,98.875%,negative
maksa,99.738%,negative
perna jadi bagi umum suara,85.061%,negative
tidak bisa guna,99.595%,negative
aplikasi kes paksa sekali guna padahl bugnya banyak bgt log in aja susah apalagi nanti pas hari h udah h- beberapa hari tp tbtb akun logout sendiri jadi gbs log in sampe sekarang mending klo aplikasi gak siap gak usah maksa pakai aplikasi jatuh nyusahin yg tugas udah gitu aplikasi bener gak user friendly,99.096%,negative
ra iso ngepap njinggg,99.464%,negative
apk mahal kok kayak gin,99.466%,negative
tidak bisa login eror mulu ngirim server lot gmn mending manual lagi,99.514%,negative
kenapa ketika udah update malah gabisa log in lagi malah invalid username sama password nyaa bener bikin pusing,99.392%,negative
ram ok simpan internal ok jaring ok login sulit,94.286%,negative
bagus cuma jaring tdk dukung,99.002%,negative
gagal dapat sertifikat digital aplikasi ruwet,99.754%,negative
server error,99.727%,negative
aplikasi amburadul,99.627%,negative
mohon maaf belum tetapi coba ulang kali tetap gagal dapat kunci digital timeout tidak tahu harus bagaimana lagi sedang milu tinggal minggu depan,90.053%,negative
percuma deh ada aplikasi,99.576%,negative
tidak bisa guna,99.595%,negative
aplikasi culun,99.736%,negative
apk nya susah banget buat login muncul failed to store private key kenapa ya tolong bantu,93.714%,negative
buruk stop guna aplikasi,99.438%,negative
masalah apk nya kpps kena semprot pps korupsi digedein bikin apk bangsa kek gak modal gin,99.705%,negative
aplikasi pantau afk wkwk gimana bisa malah apk ga bisa guna h- masih kekgini,63.672%,negative
sudah d upgrade versi baru baru lagi versi masih udah bsa d buka harus apk d upgrade begitu langsung tokcer jgan ggal gagal lagi,99.418%,negative
apk gajelas ingin kata kasar,99.807%,negative
ngabisin kuota download mulu update mulu kalau belum siap resin dulu jangan suruh download,99.598%,negative
gak bsa masuk nih gmna,98.333%,negative
udah download tpi pas buka tulis aplikasi jenis sudah tidak dapat guna,57.906%,negative
sulit bagi sirekap banyak bug mana mana mulai -server lot -susah login -sering logout sendiri -hasil foto jelek -susah upload foto scan -deteksi data hasil scan buruk -dll,99.329%,negative
eror mlu mending batal aja jangan ada sirekap,99.666%,negative
ni sebenrny buat si pke apk buat sulit kerja gmna mau masuk aja ribet bngt klo ga ikut instruksi malah gawat tpi klo ikut jadi emosi apk coba yg jdi bahan uji coba ny ya sumpah yg buat tolong mudah kerja kmi jngn malah bikin emosi gin geram bngt sumpah,99.559%,negative
gk bisa login gagal dapat sertifikat digital,95.641%,negative
app ga jelas lot,99.774%,negative
maksain,99.736%,negative
kalo begini cara saran milu tahun jangan deh pakek sirekap dulu manual aja dulu terlalu resiko karena banyak nya error segala macam hal akretasi akurat nya sangat belum layak cb bayangin aja baru login aja udah error lagi ntar kirim hasil serentak se indonesia yakin gak error aplikasi nya,99.147%,negative
minimal pake jasa orang yg jago bidang bukan yg cuma bisa doang aplikasi buat langsung negara masa ampas kek gin,54.047%,negative
bg aplikasi loadingnya lama tolong baik bg nnt pas hari susah jalan bg tolong konfirmasi,89.201%,negative
prege man mau rampung jam berapa sudah larut malam sekali,88.011%,negative
mau login susah minta ampun aplikasi masih perlu banyak baik agar tidak repot banyak pihak sudah benar tuju laku digitalisasi namun alangkah lebih baik siap matang lebih dahulu terimakasih,61.513%,negative
bikin ribet manual tinggal pake pdf penting tiap tps ada saksi panwas lapor pps ppk kpu kabupaten kpu provinsi belum lagi tiap daerah beda signal apalagi kalau kena hack,97.182%,negative
ga usah pakai otentikasi pake sidik jari napa bang kalo ada yg jempol ga ad gmn,94.123%,negative
kalau belum siap bikin aplikasi sirekap bisa dipake seluruh indonesia kayak ga perlu sok ngeonline-in data milu deh ngehambat banget buat loginnya aja susah bener dah kemaren udah masuk aplikasi abis update passwordnya tbtb gabisa dipake terus dapat intruksi kalau ada password baru ngapain sih ngaco bener ngapain tukar pw segala sih udah tau loginnya susah bjirrr nyebelin banget ngerepotin jadi tau ga si,98.293%,negative
kemaren bisa buka sekarang kok malah tidak sedia sih,98.027%,negative
aplikasi belum siap guna masih sulit login,98.082%,negative
sangat paksa digitalisasi tanpa lihat sdm,99.290%,negative
aplikasi buruk sekali design urus servernya kemarin tidak bisa masuk alas tidak dapat sertifikat digital mulu padahal hp gw snap gen ram internal gb kurang woy buruk ga guna,99.809%,negative
banyak kali masalah ngabisin duit negera aja bisa it nya sih arsitektur nyapun gak rapih kpu nyapun korupsi aja gede pake otak dikit,99.637%,negative
gabisa dipakeeeeeeeeee,78.282%,negative
jelek ga jelas,99.837%,negative
bagaimana masuk aplikasi rekap sob makin masuk era digital ko makin sulit aja yac,99.286%,negative
kyk orang lagi ajar develop padahal aplikasi negara kacau,99.788%,negative
bukan mudah malah sulit kerja aplikasi hari hari gak bisa buka mulu tanya sana sini bahkan ppsnya gaada tau,99.652%,negative
aplikasi sirekap ga jelas padahal tadi login lancar aja telah baru susah masuk,98.466%,negative
mohon servernya kuat proses nya segera mungkin tingkat guna nya aplikasi bagus tapi alangkah baik saran digunakansumpah upload hasil nunggu proses jam sampai jam belum selesai baru simulasi yng presiden belum simulasi dpr dn dpd,76.679%,negative
tolong segera diupdate gak bisa login karena masalah hardware biometrik tidak sedia,74.372%,negative
aplikasi tidak layak pakai bikin emosi selalu ada kendala selalu keluar sendiri aplikasi selalu masalah jaring,99.644%,negative
tidak layak guna,99.777%,negative
sangat sangat buruk,99.793%,negative
error,99.742%,negative
proses gambar terlalu lama,99.782%,negative
anggar besar tapi punya aplikasi penting kualitas rendah,99.316%,negative
lama loginnya,99.595%,negative
h- aplikasi masih kaya gin maksa amat - -,99.683%,negative
tidak kompeten,99.800%,negative
susah akses sistem aplikasi tidak stabil,99.698%,negative
sama seperti teman hanya tambah beban harus benah lagi terimakasih,98.882%,negative
beban,99.379%,negative
aplikasi sudah bagus kendala foto gak bisa fokus dokumen,61.698%,negative
knapa gak bisa update aplikasi,88.219%,negative
engga bisa unduh,99.111%,negative
buruk banget apk baru mau masuk awal aja udah error udah kurang lebih hari nyoba masuk waktu server rame server sepi sama aja ga ada beda harus baik aplikasi bisa pakai serentak seluruh indonesia tanggal februari kalo kaya gin mah sama aja sulit kita juga,99.782%,negative
minimal kalo mau bikin jangan pas mau deket waktu jdinya berabe,99.723%,negative
harap udah bagus apk banding ama pilpres kemarin eeh malah sama aja tolong kalau mau dipakek apk tidak bisa digunain lancar pedahal udah kelas perintah loh,97.389%,negative
aplikasi tahun tahun pasti begini terus jika ada salah yg disalahin pasti tps nya padahal aplikasi sendiri yg susah operasi seperti upload foto susah download dokumen pdf nya malah keluar appsnya sendiri dsb,99.372%,negative
aplikasi parah mah,99.785%,negative
no komen,93.766%,negative
gak bagus,99.817%,negative
aplikasi perintah selalu masalah begini kecewa mana tim ahli lain kembang aplikasi,99.612%,negative
proyek negara bung tak layak aplikasi buruk jangan guna saat hari h mana semua panitia buka saat sama saat masih simulasi sudah buruk alangkah lucu negeri,96.270%,negative
aplikasi taikkk,99.774%,negative
sekirane ra niat gawe apk mbok rsah nganggo apk sis,98.945%,negative
proyek negara payah nggak bisa andal banyak sekali kendala sirekap,99.725%,negative
tidak bisa login memper lambat kerja,99.534%,negative
aplikasi nasional bahkan golong urgent karna sangkut event besar negara aplikasi turut buruk golong belum siap karna maksud hati mungkin ingin mudah agar data akurat malah hambat bahkan sulit pkerjaan karena terlalu banyak trouble akhir buat kita utama bagai kpps rasa kecewa smoga d milu ikut ada baik apabila masih guna sistem aplikasi,99.564%,negative
banyak kendala daripada hasil aplikasi,98.511%,negative
jelek banget apk nya mana belum input semua lagi yg foto kemarin loading terus pas abis hitung suara presiden malah ngga bisa unggah berkas,99.787%,negative
aplikasi buruk terlalu paksa,99.759%,negative
aplikasi sangat buruk hanya buat bingung si guna jika seperti terus pilih cuma kembali manual biar tidak repot si guna,99.746%,negative
aplikasi ampas login lama banyak error autentifikasi ulang kali gabisa masuk,98.517%,negative
sistem belum siap bikin capek aja,99.793%,negative
sebal,99.761%,negative
aplikasi bodoh publik,99.795%,negative
ganti developer nya,68.554%,negative
jaring lelet,99.698%,negative
aplikasi payah gx bisa login terus udh ratus kali coba masih aja aplikasi perintah parah kalah sama aplikasi swasta aplikasi belum siap terlalu paksa,99.794%,negative
susah loging gagal terus,99.656%,negative
nek nd bisa buat apk dah nd usah yg aneh,99.094%,negative
aplikasi perintah masa model kelas kayak aplikasi pinjol ilegal ,99.200%,negative
kok telah update sirekap sy gk bisa buka y,70.137%,negative
woi kamera baik gilaa kali burik kamera kamera mp aja kayak gp rugi donggg,99.696%,negative
aplikasi ga jelas rugiin orang doang,99.317%,negative
aplikasi gak bisa dgunakan kenapa harus suruh instal,93.179%,negative
kalo niat emang pakek apk tolong kosndikan kembali layak apk nya banyak sudah keluh tentang salah jaring kalo bisa cari opsi atau gimana terimakasih salam,69.494%,negative
apk murah bukan ny mudah kpps malah bnyak kendala baru foto hasil sdh login akhir mending hapus apk nya,98.500%,negative
rudettttt padahal jaring udh bagus android versi,64.232%,negative
maksa bngt hrus pke aplikasi perintah rentan down curang duhh developer nya gin bngt bikin app nya,99.732%,negative
aplikasi curi suara rakyat,90.385%,negative
ribet bukan mudah server lambat,99.693%,negative
aplikasi gk guna susah bener buat login doang,99.191%,negative
gagal terus,99.761%,negative
loading sampai ber jam padahal sinyal bagus,99.456%,negative
cara sulit hidup ,99.367%,negative
apk eror,99.640%,negative
aplikasi super tolol pagi masuk aja ndak bisa,99.109%,negative
parah beud ngerepotin kpps doank lambat kerja,99.801%,negative
awal aplikasi bisa masuk telah update versi baru sma sekali tdk bisa masuk sangat buruk,99.650%,negative
error tidak bisa inisial sidik jari gimana mo rekap hasil yg cepat kl aplikasi banyak kendala tolong baik biar ntar hari h lancar,70.814%,negative
bisa gadi perintah tuu serius dikit bikin apk bnyak cacat susah upload,99.689%,negative
buat login aja susah,99.483%,negative
sangat tidak user friendly,99.792%,negative
gk mungkin bagus pasti buruk,99.773%,negative
apk sulit bikin pusing mau login kemaren tidak bisa terus lhaa terus gimana mau rekap pas tgl gak gebleng semua yaaaa mending gk usah pakai apk kalau kayak gin,99.699%,negative
apk sudah tidak laku,99.747%,negative
aplikasi gak jelas,99.715%,negative
kaya ga guna si ni aplikasi,98.248%,negative
bingung sm aplikasi nya kemaren kemaren aman aja sekarang kok tiba invalid username bingung,97.212%,negative
tolong adil saksi jangan yg naik turun ndk adil,96.746%,negative
milu tinggal beberapa hari lagi tapi belum bisa login gimana malah sulit hadehhhhhh,99.584%,negative
udah malam begadang demi login akun sirekap tapi nggak bisa,75.515%,negative
apk belum layak pakai bnyak kndala pmbacaan hsil foto lama pdhal foto jelas,97.798%,negative
aplikasi kadaluarsa g bisa guna,95.179%,negative
perbaikin lagi ya pak aplikasi nya bukan bantu malah sulit aplikasi nunggu wa hari pas mau login gabisa terus padahal udah hp yg pada,98.673%,negative
pilpres loh jangan lot kaya gin,99.332%,negative
ga bisa update payah,99.782%,negative
sangat kecewa aplikasi simulasi ppk kewalahan saat laksana bimtek pps kpps kondisi aplikasi yg belum siap guna masuk bagi kembang tolong tingkat pelihara baik sistem depan,99.592%,negative
gak bs masuk,96.651%,negative
apk gak jelas banyak banget kendala tanda tanda mau laku curang,99.697%,negative
banyak trobel,99.545%,negative
aplikasi gajelas kamera jadi burem kalau buat moto aplikasi aplikasi sama sekali ga informatif tampillanya mana mana aplikasi mudah bukan sulit uploade online gabisa uploade offline benerin satu satu data,99.554%,negative
server ga jelas,99.780%,negative
login aja susah mending kaga usah pake,99.003%,negative
aplikasi lebih sering tidak bisa login padahal kemarin sudah hasil login hari buka aplikasi sudah tidak dapat guna mohon benah lebih dahulu belum rilis aplikasi,50.594%,negative
beh bugnya banyak nya buka main lebih sulit sih bukan makin mudah tolong tinjau ulang aplikasi seperti belum waktu era digital bagi kita d,99.276%,negative
deskripi tera tidak guna hari pilih wkwkkw siap down tidak bisa guna aplikasi silelet bintang cukup,67.445%,negative
kalo belum siap digitalisasi jangan paksa bikin susah aja,98.720%,negative
jelek banget utk hal begini,99.822%,negative
ga bs masuk,96.350%,negative
error ka error se,99.615%,negative
kenapa tidak bisa login terang username or password invalid padahal sudah dapat username kpu tolong aplikasi nya dimaksimalin pulang pagi lagi kayak nya kalau begini aplikasi nya hadeehh login aja susah lagi rekap,99.416%,negative
gajelas bikin pusing banyak ita wkwk,99.801%,negative
terlalu lama proses,99.766%,negative
aplikasi cacat bgt bikin fitnah mana perkara baca data paslon presiden gak akurat pilih dpr scan partai a keluar parti b kolom edit,99.758%,negative
sangat kecewa aplikasi moga hari sudah baik tolong baik segera,99.786%,negative
bantu biar sukses milu all jaring sudah lelet masuk lambat,96.806%,negative
hallo kembang gmna ni aplikasi yg kata bisa bantu kerja kok malah susah masuk masuk username atau akun udah masuk lengkap ama sandi malah tetep tidak bisa masuk masuk tolong bantu,82.396%,negative
aplikasi kelas nasional milik negara tapi baru simulasi susah betul masuk gilir sudah masuk foto berkas selalu gagal uda ganti ponsel masih sama padahal marker juga sudah jelas lihat nanti tanggal feb g bisa bayang kalau seluruh nusantara upload foto hari yg sama bakal seperti aplikasi nya milu seperti kerja x kpps nya berkas ada masih suruh upload kalau mau digital pasti aplikasi siap dlu nasional,82.495%,negative
aplikasi nya parah aplikasi ecek d paki satu indonesia auto jd tolil apk nya yg buat apk nya kurang canggih lol nyusahin,99.799%,negative
aplikasi belum siap masih mentah,95.687%,negative
sesi inisial selalu gagal server selalu down aplikasi jauh kata sempurna bagaimana nanti pas rekapitulasi data bisa makan waktu jam jam khawatir tak bisa up makan waktu lebih yg jadwal ,98.812%,negative
miris,99.616%,negative
aplikasi negara tapi masih bawah rata susah gunain jelas bimtek temu pengopasiannya kalo aplikasi yg ga bagus tetep aja gabkalan lancar,69.435%,negative
baru uji beban tingkat nasional aj udh ancur parah,99.649%,negative
aplikasi skala nasional kok bisa buruk bukan mudah kerja nyusahin iya tiap kali salah harus foto ulang gak ada fitur pilih gambar lngsung galeri jadi kalau salah c hasil udah gulung rapi harus bongkar lagi sering error sistem salah baca pokok ngeribetin saran aja depan adain fitur pilih foto galeri jadi c hasil gk harus buka tutup terus terus,97.934%,negative
milu tinggal beberapa bulan tapi sistem gak bisa jalan,97.899%,negative
begini amat aplikasi nya mau masuk aja kaga bisa,98.424%,negative
mayan,97.809%,negative
buset dah aplikasi,99.514%,negative
terlalu banyak masalah aplikasi,99.731%,negative
ada bug saat sentuh foto keluar sendiri,56.129%,negative
aplikasi gak jelas,99.715%,negative
aplikasi selalu eror kurang bagus,99.753%,negative
aplikasi yg sangat buruk sekali masak timeout terus mau masuk,99.750%,negative
maaf aplikasi sangat bosan hari mau login gak bsa lbh baik d refresh aplikasi biar tdk bkn galau hri h nya,99.057%,negative
update buka baik malah nggk bisa login,97.516%,negative
gagal masuk terus terus,99.700%,negative
digitalisasi oke tp masuk login aj ws d sulit gmn milu tinggal hari lagi ayo tim it sirekap semangat,80.813%,negative
ngabisin waktu apk mash ja eror gimna pas hari h nya coba hadeeeeh tolong segera sempurna seluruh indonesia nih yg pake,99.101%,negative
sya bagai sirekap rasa kesal dgn aplikasi kenapa rana sdh install ulang hapus lalu install tetap tdk bisa submit mohon baik cepat,98.488%,negative
aplikasi tolol login email pw udh bener malah salah,99.292%,negative
sy baru bisa masuk link kau tengahal jam malam kalau pagi siang sangat susah sekali sy ga tahu susah masuk mana,84.521%,negative
sangat buruk,99.780%,negative
susah ribet yg bawah enak atas ngga dapat kode yg salah yg punya data atas tinggal bilang cek data coba lagi sosialisasi harus jauh sblum guna apalagi coba gin ,96.455%,negative
dpd nya belum terupdate,93.283%,negative
buka salah perintah tahu aplikasi perintah servernya lambat entah kenapa juga tidak tau tapi tidak kn sakral banget knp aplikasi pakek pinjam servernya yg cepet biat gk negalag,99.035%,negative
update elit sistem sulit v uninstal donlod lagi hasil login suruh update lagi login gagal hapus lagi suruh donlod lagi wkwkw kpu moh rugi jebule,99.753%,negative
apk cacat nyusahin aja,99.815%,negative
kalau mau buat aplikasi yg benerlah anggar gede tapi aplikasi lot ga guna,92.447%,negative
aplikasi beban negara segera buang playstore,87.746%,negative
aplikasi kelas nasional bukan mudah kerja tp memper lambat kerja harus sudah selesai malah masih muter tunggu salin dokumen,99.059%,negative
telah update malah gk bisa masuk kendala username password nya salah padahal username password nya yg guna adalah password yg sudah otomatis simpan hp gk layak pakai aplikasi seperti bukan nya mudah malah ngabisin kuota hadehh,99.627%,negative
banyak keluh tidak bisa inisial masuk,99.518%,negative
baru uji coba sudah banyak kendala lagi waktu laksana,98.456%,negative
blm bisa ligin,89.829%,negative
kelas milu presiden kenapa apk sulit gin tolong tingkat kembali,99.192%,negative
lupa pasword gak bisa ubah,73.714%,negative
tidak bisa buka luar biasa,99.314%,negative
sirekap bukan bantu kerja kpps malah tambah ribet karena tidak bisa unggah file manual hanya bisa langsung potret aja sedang hari h server lagi down mau kerja h ga bisa soal c pleno sdh serah camat mohon baik depan,98.226%,negative
aplikasi bosok,72.302%,negative
jangan perintah guna aplikasi kalau aplikasi belum siap masih banuak keluh,99.507%,negative
pengoprasian lama server sering down susah upload file hasil foto kurang jernih meski sudah pakai hp spek cukup tinggi bpk ibu kpu mohon baik lagi,89.972%,negative
tolong admin baik aplikasi nya kalau begini trus susah terimakasih,75.679%,negative
apk gk jelas smlem bisa buka sekarang sama sekali gk bisa udah x download uninstal kalo nnti pas hari h jadi msih kyak gin gmana mending pakek manual sekali gk terlalu ribet amat,97.514%,negative
udah ada wa verivikasi tetep tidak bisa apk ndak sempurna buat sierekap nyusahin tolong optimal karena wajib guna apk,99.402%,negative
sangat susah buang kuota,99.652%,negative
sudah kali kali inisial tapi muter mulu,99.373%,negative
klo dah g bisa guna knp msh ada ajah sih,81.379%,negative
makanya belum edar uji coba dulu aplikasi bisa jalan tidak padahal udah jelas foto malah minta foto ulang,94.990%,negative
masuk aja susah boro mo oprasiin,99.673%,negative
lelet bgt foto gagal mulu gak jelas,99.794%,negative
aplikasi si rekap si mark up ya hehehe,92.085%,negative
susah login terus,99.641%,negative
sudah kunci layar aplikasi tetep pas buka nya ada jadi salah siap perangkap,99.011%,negative
kalo belum siap jangan d paksa,92.376%,negative
hari laksana sebentar lagi sedang aplikasi guna simulasi masih eror apalagi pas waktu laksana login masih mudah namun pas upload gambar muncul terang harap tunggu gambar form-c sedang proses begitu terus namun tidak selesai padahal kualitas internet bagus tolong baik niat bikin mudah malah jadi sulit buat lama kerja,99.394%,negative
aplikasi sudah usang,99.765%,negative
bolak-balik update,78.518%,negative
aplikasi buruk gambar tidak jelas,99.725%,negative
entah akan jadi ketika guna pas hari pilih mudah atau sulit,93.122%,negative
aplikasi bikin sakit jiwa,99.589%,negative
fyi ada hp realme tapi sama failed store private key udah hari nyoba masih sama pas pake hp sodara samsung langsung masuk menu utama sirekap tanpa hambat apa,95.856%,negative
saran bagi yg lupa password harus sedia ganti password bagi yg lupa passwordnya mau masuk aja susah karena password yg salah terus padahal password udh bener,66.670%,negative
aplikasi super ribet bukan mudah malah teori sulit diri,99.496%,negative
aplikasi suka keluar sendiri seperti,85.412%,negative
aplikasi sampah error nggk bisa guna,99.185%,negative
mantab meminilisir curang,99.504%,negative
aplikasi buruk sangat susah guna,99.732%,negative
udah download tpi gk bs dbuka uda download tpi tidak bisa buka,69.510%,negative
udah jam nunggu proses inisial udah jdi mlah update lagi stelah update nunghu lgi msuknya stmgah jm skrang update lgi stelah update mau msuk paswordnya udah slah pdhal pasword ttap aktivasi lgi g ti psword ttap slah lgi gman sih klopun belum siap jgn mksa jgn nmbah menghmbat kerja kami,79.019%,negative
aplikasi udah gajelas update makin gajelas tolong mudah apalagi buat orang tua tidak awam ikut kembang gadget,99.564%,negative
ora kenek gae alias tidak bisa pakai aplikasi useless banget buat login ga bisa,99.320%,negative
apknya masalah malah kpps yg salah tahun ikut gak usah lg pake begini,99.297%,negative
ribet banyak ganti profil jadi masalah apk nya,99.625%,negative
aplikasi tidak layak proyek negara besar,99.668%,negative
sering error,99.654%,negative
hallo kpu gimana mau pakai aplikasi masuk aja gabisa aplikasi busuk mending gausah guna,98.242%,negative
bagong,99.167%,negative
aplikasi kurang guna kelas perintah,97.081%,negative
najis app gaguna korupsi aja terus,99.812%,negative
mau update susaaaaaaaaahh,99.391%,negative
tidak bisa download,83.590%,negative
tahun sekali gk ad ubah buat aplikasi lelet gk bisa masukin bnyak guna sering login ulang gk ad tingkat dr tahun tahun,99.407%,negative
mohon pak cerah kenapa kok gagal terus saat inisial pk,64.406%,negative
selalu masalah bahkan sampai hari,99.641%,negative
aplikasi kelas anak paud kok guna hajat kelas milu nasional tolong kpk usut tuntas guna dana,65.220%,negative
jelek banget gabisa dilogin maksa bnget pake apk jelek kek begini,99.832%,negative
buat tahun pakai cara manual aja kalo sudah siap digitalisasi baru pakai jangan paksa kaya gin bukan mudah malah bikin tambah mumet,99.575%,negative
aplikasi macet simpan banyak sinyal full kuota besar tetep mandeg submit,99.735%,negative
edan kpu depan mending kerja sama developer aplikasi kembang kartu prakerja aja deh login lancar ui kurang lebih sama login aja butuh ratus kali ngulang apa parah bngt,99.661%,negative
susah login sering down server,99.704%,negative
aplikasi ga guna buat repot,99.601%,negative
it nya ngapain aja bangke,99.566%,negative
anggar besar tapi bikin aplikasi aja gabecus anak smk juga bisa kalo bikin aplikasi jelek gin dipake buat milu feb tapi sampe sekarang masih banyak eror nya gangerti lagi,99.643%,negative
tolong sempurna lagi fiturnya tidak ada autofokus saat scan buat gambar susah deteksi gagal kali saat hendak kirim server pemrosesan gambar juga sangat lambat aplikasi hanya sekali input buat kalau ada salah tidak dapat koreksi,98.343%,negative
malah bikin repot bukan mudah malah sulit masuk aja gak bisa kalau belum siap guna jagan maksa,99.746%,negative
harus jngn uji coba dipelihan sekali beras seperti klau emng belum siap malah bingung jatuh bagus sih ide cuma mohon baik lagi milu sudh dekat kurang revisi dadak,93.031%,negative
payah lot bgt nambah kerja jd lama,99.745%,negative
habis update gak bisa buka,82.071%,negative
kurang evisien bukan bantu malah lama utama daerah susah sinyal seperti tempat mohon segera baik agar manfaat asa oleh kpps terimakasih,95.587%,negative
aplikasi selalu bug bahkan tidak bisa masuk tampil utama,99.441%,negative
buat aplikasi tolong benerin masa bentar lagi apk mau pake ada tulis apk tidak dapat guna terus grup malah kasih link buat instal apk mana pas klik muncul apk bahaya bisa ada virus nya bisa nyuri data juga bisa bocor informasi hp juga piye toh kita tuh cuma mau kerja kalau mau fasilitas bener bikin apk nya kelas perintah ko bikin aplikasi gak karuan gin plin plan musingin make aja tambah pajuriwet,99.466%,negative
aplikasi sering eror saat guna akhir malah sulit lambat kerja kpps mohon lebih tingkat,96.631%,negative
apk rudet,94.549%,negative
aplikasi masih mentah bom siap pakai banyak trouble gak pada down mulu,86.603%,negative
apk ga jelas awokawok kebelet digital apk ginian tpi ga si persiapin mateng kenapa ga harus tahun kemarin baik knp sekarang pas mau milu susah,99.718%,negative
made in perintah dulu gin mulu ya minus ga bisa auto focus fitur utama buah aplikasi guna kamera ga bisa nyala flash fitur tambah jelas objek foto ga bisa pake foto galeri fitur tambah jika minta foto ulang server kurang kuat,98.500%,negative
please kalau bikin aplikasi ajar tahun lalu masa masalah tetap sama sperti susah login ngebug aplikasi keluar sendiri lola tidak ada tim uji ya belum aplikasi pakai oleh kpps,95.442%,negative
bagus tapi blum bisa login,59.746%,negative
indonesia sebener nya belum siap hal kaya gin tapi paksa all hasil banyak sirekap keluh tidak bisa login,99.565%,negative
buat stress karena tidak bisa masuk sampai tak hitung berapa kali download,99.757%,negative
login sulit inisial sulit semuaaa sulit apl gmn sihhhh,99.638%,negative
aplikasi sampah kalo semisaal blm siap jangan maksa,99.047%,negative
gagall gagall,99.564%,negative
apl abal,99.795%,negative
sistem versi sudah baik tapi banyak guna kendala saat ingin login aplikasi sangat susah login,98.128%,negative
aplikasi abal abal paksa,99.795%,negative
sirekap kpu hanya laku curang pilpres cara gelembung suara mangkas bahkan hilang suara ingat asyari botak ketua bawaslu kalian akan adil kelak akhirat,99.754%,negative
aplikasi badut,59.275%,negative
aplikasi ga layak milu,99.799%,negative
belum sempurna perangkat tidak bisa inisial gagal terus kpu bisuu nihh masa keluh gin banyak ga ditanggepin payahh,99.761%,negative
tidak bisa login sampai hari ga ada maju,97.617%,negative
buat milu lo jangan main main apresiasi digitalisasi karena ikut kembang jaman namun akses aja susah mau inisial aja sudah hari gk bsa tolong perhati kena sistem efektifitas penggunaanya jangan sampai nanti malah sulit ketika milu langsung,95.181%,negative
aplikasiii terparahh pernah ku dowload,84.386%,negative
susah login bejir gak masuk masuk udh hampir hari,99.260%,negative
aplikasi ga guna,99.627%,negative
makin gak jelas,99.774%,negative
pusing aplikasi bagaimana sirekap tidak bisa masuk alamak nanti hari h anggota kpps yg jadi sirekap pusing dua karena data susah unggah verifikasi huhu,99.649%,negative
opo iki,99.473%,negative
aplikasi gin amat ya macet minta ampun,99.790%,negative
aplikasi buat serba ribet mending ni aplikasi benerin dlu klo blm siap buat pakai mending jangan dlu,98.053%,negative
aplikasi nya gk bisa lebih loggin apala lg foto,97.859%,negative
sangat lelah harus ada backup server klau server utama tidak kuat kirim server kpu camat kpu kabupaten kpu provinsi baru kpu ri pusat baca kamera masih sangat jelekh,99.752%,negative
gagal mulu mau upload simulasi sirekap padahal sudah dekat hari milu,99.711%,negative
cb jam sampe subuh ga login gagal kunci layar terus kl kyk gin malah yg dikatain hp nya kentang jaring jelek dah,99.686%,negative
gak jelas,99.778%,negative
munyer trus kayak orang puyeng klo blm bisa mbok y jngn terlalu paksa lbh baik kembali cara manual,95.351%,negative
aplikasi kaga danta sih ya kaya ketua kpu nya ,96.982%,negative
aplikasi nya kurang bagus,99.729%,negative
blom layak guna coba login lama jam gak dapat masuk,96.841%,negative
emang punya masalah hidup sih bikin apk rumit bgt ya rumit apk nya wkwk,99.697%,negative
gak update,99.766%,negative
eror terus tak bisa,99.573%,negative
nglag,95.455%,negative
tidak bisa masuk sirekap udah cara hapus data dll sampai lihat youtube masih gagal tolong baru lagi,96.303%,negative
please biarin aja pihak swasta handel masalah it,93.398%,negative
ada sirekap sulit aj,99.657%,negative
